time,temp,icon,precip,wind360,windSpeed,humidity,pressure,solar1,solar2,solar3,solar
17,28,100,0.0,0,13,19,995,8.48246955871582,7.978457927703857,2.5876080989837646,11.680607795715332
18,27,100,0.0,45,13,20,995,1.826393961906433,2.655155897140503,2.603195905685425,1.5354180335998535
19,26,100,0.0,45,9,21,995,0.29617199301719666,0.002597999991849065,-0.05455800145864487,0.4858259856700897
20,23,100,0.0,180,7,30,995,0.29617199301719666,0.002597999991849065,-0.05455800145864487,-0.03897000104188919
21,22,100,0.0,180,7,36,996,0.29617199301719666,0.002597999991849065,-0.05455800145864487,-0.03897000104188919
22,21,100,0.0,180,5,38,996,0.29617199301719666,0.002597999991849065,-0.05455800145864487,-0.03897000104188919
23,21,100,0.0,135,4,32,996,0.29617199301719666,0.002597999991849065,-0.05455800145864487,-0.03897000104188919
0,19,100,0.0,135,2,38,996,0.028578000143170357,0.0,0.0337739996612072,0.02597999945282936
1,19,100,0.0,180,1,42,995,0.028578000143170357,0.0,0.0337739996612072,0.02597999945282936
2,19,100,0.0,90,2,46,994,0.028578000143170357,0.0,0.0337739996612072,0.02597999945282936
3,19,100,0.0,315,4,42,993,0.028578000143170357,0.0,0.0337739996612072,0.02597999945282936
4,22,100,0.0,270,24,21,993,0.028578000143170357,0.0,0.0337739996612072,0.02597999945282936
5,24,100,0.0,270,16,19,992,0.028578000143170357,0.5273939967155457,0.0337739996612072,0.02597999945282936
6,24,100,0.0,270,4,21,991,2.9851019382476807,3.1721580028533936,1.5665940046310425,1.6133580207824707
7,25,100,0.0,270,16,20,991,7.34194803237915,7.573170185089111,1.6315439939498901,5.323301792144775
8,27,100,0.0,270,39,19,991,15.143741607666016,14.634533882141113,9.20991039276123,13.90709400177002
9,29,100,0.0,270,30,18,990,30.983747482299805,24.17698860168457,23.11440658569336,28.27923011779785
12,34,100,0.0,270,33,14,988,49.67375946044922,29.663963317871094,19.555145263671875,47.38492202758789
13,35,100,0.0,270,45,11,987,49.67375946044922,26.81395721435547,29.786069869995117,48.48127746582031
14,35,100,0.0,315,18,11,986,46.0963134765625,8.46947956085205,33.961055755615234,47.203060150146484
15,35,100,0.0,315,21,10,986,38.50236129760742,12.353489875793457,28.998876571655273,3.769697904586792
16,34,305,0.0,0,17,12,985,24.7563419342041,16.09720802307129,17.398805618286133,23.272884368896484
17,35,100,0.0,315,17,11,985,11.680607795715332,8.48246955871582,7.978457927703857,2.3667778968811035
18,33,101,0.0,270,7,13,985,1.5354180335998535,1.826393961906433,2.655155897140503,1.2808140516281128
19,32,101,0.0,315,8,14,985,0.4858259856700897,0.29617199301719666,0.002597999991849065,0.25720199942588806
20,30,101,0.0,90,26,21,986,-0.03897000104188919,0.29617199301719666,0.002597999991849065,0.25720199942588806
21,27,101,0.0,180,7,28,987,-0.03897000104188919,0.29617199301719666,0.002597999991849065,0.25720199942588806
22,27,100,0.0,270,5,29,988,-0.03897000104188919,0.29617199301719666,0.002597999991849065,0.25720199942588806
23,27,100,0.0,135,16,27,989,-0.03897000104188919,0.29617199301719666,0.002597999991849065,0.25720199942588806
0,26,100,0.0,90,23,29,990,0.02597999945282936,0.028578000143170357,0.0,0.08313599973917007
1,25,100,0.0,90,18,29,990,0.02597999945282936,0.028578000143170357,0.0,0.08313599973917007
2,24,100,0.0,135,5,32,990,0.02597999945282936,0.028578000143170357,0.0,0.08313599973917007
3,21,100,0.0,0,8,45,990,0.02597999945282936,0.028578000143170357,0.0,0.08313599973917007
4,20,100,0.0,0,2,50,990,0.02597999945282936,0.028578000143170357,0.0,0.08313599973917007
5,19,100,0.0,315,8,54,990,0.02597999945282936,0.028578000143170357,0.5273939967155457,0.08313599973917007
6,20,100,0.0,315,5,53,990,1.6133580207824707,2.9851019382476807,3.1721580028533936,1.3067940473556519
7,23,100,0.0,315,9,43,990,5.323301792144775,7.34194803237915,7.573170185089111,5.640257835388184
8,26,100,0.0,0,13,34,991,13.90709400177002,15.143741607666016,14.634533882141113,13.740821838378906
9,27,100,0.0,0,10,31,991,28.27923011779785,30.983747482299805,24.17698860168457,27.4478702545166
12,31,100,0.0,0,6,20,991,47.38492202758789,49.67375946044922,29.663963317871094,48.47608184814453
13,32,100,0.0,45,15,18,990,48.48127746582031,49.67375946044922,26.81395721435547,48.000648498535156
14,33,100,0.0,45,17,17,990,47.203060150146484,46.0963134765625,8.46947956085205,43.043663024902344
15,33,100,0.0,0,10,15,988,3.769697904586792,38.50236129760742,12.353489875793457,35.683528900146484
16,34,100,0.0,45,11,14,988,23.272884368896484,24.7563419342041,16.09720802307129,23.72233772277832
17,34,100,0.0,180,9,14,987,2.3667778968811035,11.680607795715332,8.48246955871582,10.212738037109375
18,33,100,0.0,180,15,17,987,1.2808140516281128,1.5354180335998535,1.826393961906433,1.6393380165100098
19,31,100,0.0,180,21,18,986,0.25720199942588806,0.4858259856700897,0.29617199301719666,0.031176000833511353
20,29,100,0.0,180,10,23,987,0.25720199942588806,-0.03897000104188919,0.29617199301719666,0.031176000833511353
21,28,100,0.0,135,13,24,988,0.25720199942588806,-0.03897000104188919,0.29617199301719666,0.031176000833511353
22,27,100,0.0,180,17,26,988,0.25720199942588806,-0.03897000104188919,0.29617199301719666,0.031176000833511353
23,25,100,0.0,135,10,31,988,0.25720199942588806,-0.03897000104188919,0.29617199301719666,0.031176000833511353
0,24,100,0.0,135,7,32,988,0.08313599973917007,0.02597999945282936,0.028578000143170357,0.0
