time,temp,icon,precip,wind360,windSpeed,humidity,pressure,load1,load2,load3,load
13,28,101,0.0,45,28,41,997,2.088792085647583,7.466651916503906,6.858719825744629,6.79636812210083
14,28,104,0.0,45,11,39,997,7.212048053741455,2.6863319873809814,17.032487869262695,11.093460083007812
15,27,305,0.0,45,7,42,996,8.116151809692383,5.258351802825928,4.187975883483887,11.789724349975586
16,28,104,0.0,0,6,42,997,8.14732837677002,7.024991989135742,4.63483190536499,9.093000411987305
17,26,101,0.0,180,13,56,997,11.4415922164917,7.856351852416992,3.5904359817504883,8.42271614074707
18,26,100,0.0,135,3,58,998,2.353787899017334,3.3306360244750977,3.0396599769592285,6.380688190460205
19,26,100,0.0,45,12,54,998,2.353787899017334,2.44212007522583,2.1095759868621826,6.255983829498291
20,26,100,0.0,0,13,51,998,3.53847599029541,7.06136417388916,2.1927120685577393,6.255983829498291
21,24,101,0.0,0,8,56,998,4.577675819396973,3.980135917663574,2.1927120685577393,2.3745720386505127
22,23,101,0.0,315,9,61,999,3.496907949447632,2.4732959270477295,2.1927120685577393,5.076491832733154
23,23,101,0.0,45,5,66,1000,3.496907949447632,2.4732959270477295,2.255064010620117,5.247960090637207
0,22,100,0.0,135,13,63,1001,3.4917120933532715,1.7666399478912354,2.338200092315674,4.946591854095459
1,21,100,0.0,45,7,67,1001,1.964087963104248,1.7666399478912354,2.338200092315674,5.118060111999512
2,20,100,0.0,315,9,71,1001,1.964087963104248,1.7666399478912354,2.338200092315674,5.175216197967529
3,20,100,0.0,315,9,71,1001,1.964087963104248,1.7666399478912354,2.338200092315674,5.144040107727051
4,20,100,0.0,315,10,70,1000,1.964087963104248,1.7666399478912354,2.338200092315674,1.7978160381317139
5,20,100,0.0,45,1,74,1000,1.964087963104248,1.7666399478912354,2.338200092315674,1.9692840576171875
6,20,101,0.0,270,1,76,1000,1.964087963104248,1.7666399478912354,2.338200092315674,5.118060111999512
7,23,100,0.0,45,2,62,1001,6.204023838043213,1.7666399478912354,4.0840559005737305,5.357076168060303
8,24,100,0.0,90,4,57,1002,6.9522480964660645,1.7666399478912354,2.0732040405273438,10.241315841674805
9,25,101,0.0,270,3,55,1002,10.807680130004883,6.848328113555908,7.206851959228516,7.742040157318115
10,26,101,0.0,45,12,52,1002,11.135027885437012,7.508220195770264,3.6320040225982666,7.91350793838501
12,28,104,0.0,90,10,46,1001,8.194091796875,3.2007360458374023,7.38351583480835,7.34194803237915
13,29,104,0.0,180,5,45,1000,6.79636812210083,2.088792085647583,7.466651916503906,8.947511672973633
14,30,104,0.0,90,11,43,999,11.093460083007812,7.212048053741455,2.6863319873809814,13.727831840515137
